Brand,Model,Interface,Form Factor,Capacities,Lowest Storage Capacity,Highest Storage Capacity,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,Read (MB/s),Write (MB/s),Categories,Lowest Price,Highest Price,Number of Ratings,Rating,Disk Rating,Amazons Choice,Product Link
Acer,SA100,SATA/AHCI,2.5,120GB-1920GB,120GB,1920GB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,Micron,TLC,176,560,500,Entry-Level SATA,22.99,87.99,1358,4.6,3571,No,https://amzn.to/3PYoE4k
Acer,FA100,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,128GB,2TB,Innogrit IG5216,"Dual-core, 4x4",No,Yes,Micron,TLC,176,3300,2700,Entry-Level NVMe,24.99,90.99,559,4.5,12593,No,https://amzn.to/3EZjFtW
Acer,GM3500,x4 PCIe 3.0/NVMe,M.2,512GB-1TB,512GB,1TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,96+,3400,3000,Mid-Range NVMe,39.99,99.7,130,4.5,17456,No,https://amzn.to/3RFUlk0
Acer,GM7000 (Predator),x4 PCIe 4.0/NVMe,M.2,512GB-4TB,512GB,4TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,No,Micron,TLC,176,7400,6400,High-End NVMe,45,250,565,4.6,40122,No,https://amzn.to/3TaMDgP
Acer,RE100,SATA/AHCI,2.5,128GB-4TB,128GB,4TB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,Micron,TLC,64,560,520,Entry-Level SATA,,,Unavailable,Unavailable,3342,Unavailable,Unavailable
ADATA,ATOM 50,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,512GB,2TB,InnoGrit IG5220,"Tri-core R5, 4x8",No,Yes,Micron,TLC,176,5000,4500,Mid-Range NVMe,,,132,4.7,Unavailable,No,https://amzn.to/43gAHNH
ADATA,Falcon,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,256GB,2TB,Realtek RTS5762DL,"Dual-core, 8-ch, 4-CE/ch",No,Yes,Micron,TLC,96,3100,1500,Entry-Level NVMe,45,49.99,3033,4.4,19064,No,https://amazon.com/dp/B0896WX1GK
ADATA,Legend 710,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,256GB,1TB,Realtek RTS5766DL,4-Ch,No,Yes,Micron,TLC,96,2400,1800,Entry-Level NVMe,20.99,55.58,3033,4.4,17774,No,https://amazon.com/dp/B09YRY5MDC
ADATA,Legend 740,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,250GB,1TB,Realtek RTS5766DL,4-Ch,No,Yes,Micron,TLC,96,2500,2000,Entry-Level NVMe,22.99,59.99,3033,4.4,21576,No,https://amazon.com/dp/B09J1RT71K
ADATA,Legend 750,x4 PCIe 3.0/NVMe,M.2,500GB-1TB,500GB,1TB,Maxio MAP1202,"Dual R5, 4x4",No,Yes,Micron,TLC,96,3500,3000,Entry-Level NVMe,69.7,75.99,3033,4.4,24184,No,https://amazon.com/dp/B09L5HBW2K
ADATA,Legend 800,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,1TB,2TB,SMI SM2267XT,"Dual R5, 4x5",No,Yes,Micron,TLC,97,3500,2800,Mid-Range NVMe,26.99,81.99,1822,4.7,22613,Yes,https://amazon.com/dp/B0896WX1GK
ADATA,Legend 840,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,512GB,1TB,InnoGrit IG5220,"Tri-core R5, 4x8",No,Yes,Micron,TLC,176,5000,4500,Mid-Range NVMe,34.99,79.69,3059,4.4,31108,No,https://amzn.to/44hX3Qv
ADATA,Legend 850,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,512GB,2TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,Micron,TLC,176,5000,4500,Mid-Range NVMe,54.44,110.79,23,4.7,28422,No,https://amzn.to/3DfcjRX
ADATA,Legend 850 Lite,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,500GB,2TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,Micron,TLC,176,5000,4200,Mid-Range NVMe,32.99,88.99,1816,4.7,30805,No,https://amzn.to/3nFNElq
ADATA,Legend 960/Max,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,1TB,2TB,SMI SM2264,"QC (12nm R8), 8-ch, 8-CE/ch",Yes,No,Micron,TLC,176,7400,6800,High-End NVMe,,259.99,1816,4.7,44062,No,https://amzn.to/3yBp7zW
ADATA,Legend 970,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,1TB,2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,10000,10000,High-End NVMe,218.33,349.84,Unavailable,Unavailable,Unavailable,No,https://amazon.com/dp/B0CB71FSC6 
ADATA,Premium,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,1TB,2TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,No,Micron,TLC,176,7400,6800,High-End NVMe,64.99,119.99,909,4.6,Unavailable,No,https://amzn.to/41Z9gst
ADATA,S20G,x4 PCIe 3.0/NVMe,M.2,500GB-1TB,500GB,1TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Micron,TLC,176,2500,1800,Entry-Level NVMe,128,170,6034,4.6,17154,No,https://amazon.com/dp/B08RWL9SB5
ADATA,S40G,x4 PCIe 3.0/NVMe,M.2,256GB-4TB,256GB,4TB,Realtek RTS5762,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64/96,3500,3000,Mid-Range NVMe,34.99,369,6034,4.6,23659,No,https://amazon.com/dp/B07SNNFD4N
ADATA,S50,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,1TB,2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000,4400,Mid-Range NVMe,,,104,4.6,28761,No,https://amazon.com/dp/B07WH4DVWR
ADATA,S50 Lite,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,1TB,2TB,SMI SM2267,"DC (28nm R5), 4-ch, 8-CE/ch",Yes,No,Micron,TLC,96,3900,3200,Mid-Range NVMe,163.53,300,8652,4.6,27238,No,https://amzn.to/3ZWpYac
ADATA,S70/S70 Blade,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,1TB,2TB,Innogrit IG5236,"Quad-core, 8-ch",Yes,No,Micron,TLC,96,7400,6400,High-End NVMe,64.99,104.6,8652,4.6,43724,Yes,https://amzn.to/41V7EA5
